"Model","VaR_95","ES_95","VaR_99","ES_99","Breaches_99","Breach_Rate_99","Kupiec_p_value"
"Parametric",3716821.55886138,4661731.21596362,5257892.15225507,6024174.42626062,35,0.0285947712418301,9.59062963490354e-08
"Historical",3143684.4369388,5835818.02599769,7527866.88672645,10850958.3928892,26,0.0212418300653595,0.00058819135162258
